acc,gyro
-1.2423701875597866,0.035163362638433775
-1.2712016979814946,-0.015238208868173725
-1.2515818006365549,-0.044220885725372576
-1.2228866717067817,-0.08873629012476995
-1.1818402523371425,-0.11886166122716074
-1.1115597758160856,-0.15907536302194536
-1.033583322377304,-0.20501769859035415
-0.9350411591216804,-0.25826774699480887
-0.8226428188966688,-0.3194648988674274
-0.6992535323972884,-0.3507702431641043
-0.5635422023840151,-0.36168031073920365
-0.4199620336528425,-0.3276284146059459
-0.25909116978150365,-0.24570079454476826
-0.14246318122280083,-0.13115080783201752
-0.01694190131291532,-0.002137335664889632
0.08894210692791897,0.14168680447458068
0.17588920444763476,0.27448337552132795
0.248388608286025,0.38317670386150227
0.3190563281007977,0.4409865966460184
0.40546483310775505,0.42231333754512584
0.5129746176896701,0.3381437033646151
0.6256538519383621,0.21431251889150038
0.7708859507799993,0.0979384906233755
0.9105864147275448,0.011955093108070839
1.0271140868720638,-0.03380399579403569
1.119679338578399,-0.022860774265393128
1.176395371806426,0.028391218866267144
1.1940971808181313,0.07179540117157714
1.2196709880203678,0.05661367349964352
1.2618532471948514,-0.03059715035556699
1.3203201013256558,-0.1403773046390344
1.3796410426986712,-0.22942512949154872
1.4295244465158088,-0.24220835560495982
1.4037342715769843,-0.13977204786906788
1.2999778492409149,0.09739785549948654
1.1007749723342408,0.4258360508987376
0.8222890545675645,0.7441150639191199
0.5473558092641172,0.9451359899037524
0.25367470668248515,0.9741261211553495
0.05278372595824491,0.8398329972799173
-0.07703919485933207,0.5970372662237164
-0.18241723616530534,0.3028687152141976
-0.24143527670873569,0.03500845773412774
-0.27605366466696,-0.19389151659146117
-0.32628702114871583,-0.35746359361535696
-0.37975149227631577,-0.49445929788621984
-0.43592206972963554,-0.6071543610682594
-0.47136604009386995,-0.6796518952191933
-0.5593696062878409,-0.6406659401267872
-0.6358276923867371,-0.5476822927390937
-0.7446173038968126,-0.39432499325356196
-0.8557319440730016,-0.2179823496836435
-0.9957566392703525,-0.05389931769957203
-1.103264347168096,0.06050404196696245
-1.2079268735440527,0.11534813586629071
